Country Name,Country Code,2015gdp,2016gdp,2017gdp,2018gdp,2019gdp,2019gdppc,2019inflation,2019population,2019unemployment,2019FDI%,Continent,2018population
Latin America & Caribbean (excluding high income),LAC,5.00E+12,4.86E+12,5.42E+12,5.22E+12,5.14E+12,8368.446391,2.866700328,613773128,8.274133598,3.147609814,#N/A,608113077
Lao PDR,LAO,14390442307,15805692546,16853087485,17953786416,18173839128,2534.898277,2.423055023,7169455,,3.065816397,Asia,7061507
Lebanon,LBN,49939374833,51205122504,53140638269,54961275742,53367042272,7784.316857,2.9,6855713,,4.166001685,Asia,6848925
Liberia,LBR,3177000000,3277826000,3285455000,3264000000,3070518100,621.8929536,-3.734592332,4937374,,4.48784197,Africa,4818977
Libya,LBY,27842131480,26197143268,37883243650,52607888718,52076250948,7683.750611,-1.103625624,6777452,,,Africa,6678567
St. Lucia,LCA,1808079889,1865375222,1999090407,2065875074,2122450630,11611.41545,0.992577344,182790,15.58609962,1.443649163,North America,181889
Latin America & Caribbean,LCN,5.52E+12,5.39E+12,5.99E+12,5.82E+12,5.72E+12,8847.43187,2.507896577,646430841,8.22106783,3.258896437,#N/A,640454810
Least developed countries: UN classification,LDC,9.55E+11,9.43E+11,1.03E+12,1.07E+12,1.11E+12,1069.681699,3.064414704,1033388876,,1.723603871,#N/A,1009662578
Low income,LIC,5.19E+11,4.79E+11,4.95E+11,5.09E+11,5.21E+11,779.8189412,2.410902664,668454965,,3.124315128,#N/A,651327587
Liechtenstein,LIE,6268391521,6237264055,6552858739,,,,,38019,,,Europe,37910
Sri Lanka,LKA,80604080689,82401038710,87428125558,88425889592,84008783756,3853.083693,2.191303306,21803000,4.789999962,0.902508796,Asia,21670000
Lower middle income,LMC,5.19E+12,5.36E+12,5.76E+12,6.00E+12,6.34E+12,2176.558227,3.235371769,2913363391,,1.955561445,#N/A,2872397765
Low & middle income,LMY,2.71E+13,2.72E+13,2.98E+13,3.18E+13,3.27E+13,5080.365496,2.410902664,6437681145,,1.720207328,#N/A,6361417194
